analysis_version,pair_id,review_id,review_title,left_group_id,left_test,right_group_id,right_test,comparison_type,clinical_comparability_note,baseline_tradeoff_set,starting_probability,directness_classification,overlapping_study_identifier_count,overlapping_study_identifiers,same_participants_established,cross_test_cells_available,cross_test_covariance_available,paired_inference_supported,left_information_bits,right_information_bits,signed_information_bits_difference,absolute_information_bits_difference,signed_fraction_entropy_removed_difference_percentage_points,absolute_fraction_entropy_removed_difference_percentage_points,signed_youden_j_difference,absolute_youden_j_difference,left_post_negative_probability,right_post_negative_probability,signed_post_negative_probability_difference_percentage_points,absolute_post_negative_probability_difference_percentage_points,youden_information_direction_differs,information_negative_result_direction_differs,uncertainty_status,inference_status,source_interpretation,estimator
0.42.0,P01,CD008892,Rapid diagnostic tests for typhoid and paratyphoid (enteric) fever,legacy:CD008892:5,Typhidot indeterminate results reported,legacy:CD008892:10,Typhidot (all types),2,Same Typhidot test with different handling of indeterminate results,True,0.05,partially overlapping,6,Fadeel 2011 | Kawano 2007 | Keddy 2011 | Khan 2002 | Naheed 2008 | Olsen 2004,False,False,False,False,0.0326240538969902,0.0501258681328728,-0.017501814235882603,0.017501814235882603,-6.111033585037859,6.111033585037859,-0.1171429576043348,0.1171429576043348,0.0220267264070013,0.013926616574715,0.81001098322863,0.81001098322863,False,False,not calculated: same-participant cross-test cells and covariance are unavailable,exploratory within-review descriptive contrast only; not paired comparative inference,Study-identifier overlap does not establish paired participant-level evaluation; the contrast remains descriptive.,continuity-corrected bivariate REML central estimates
0.42.0,P01,CD008892,Rapid diagnostic tests for typhoid and paratyphoid (enteric) fever,legacy:CD008892:5,Typhidot indeterminate results reported,legacy:CD008892:10,Typhidot (all types),2,Same Typhidot test with different handling of indeterminate results,True,0.2,partially overlapping,6,Fadeel 2011 | Kawano 2007 | Keddy 2011 | Khan 2002 | Naheed 2008 | Olsen 2004,False,False,False,False,0.1059874293730147,0.1639601073560512,-0.057972677983036514,0.057972677983036514,-8.0302565301994,8.0302565301994,-0.1171429576043348,0.1171429576043348,0.0966441241293507,0.0628681513358388,3.3775972793511895,3.3775972793511895,False,False,not calculated: same-participant cross-test cells and covariance are unavailable,exploratory within-review descriptive contrast only; not paired comparative inference,Study-identifier overlap does not establish paired participant-level evaluation; the contrast remains descriptive.,continuity-corrected bivariate REML central estimates
0.42.0,P01,CD008892,Rapid diagnostic tests for typhoid and paratyphoid (enteric) fever,legacy:CD008892:5,Typhidot indeterminate results reported,legacy:CD008892:10,Typhidot (all types),2,Same Typhidot test with different handling of indeterminate results,True,0.5,partially overlapping,6,Fadeel 2011 | Kawano 2007 | Keddy 2011 | Khan 2002 | Naheed 2008 | Olsen 2004,False,False,False,False,0.1585521081736437,0.2511169244996977,-0.09256481632605398,0.09256481632605398,-9.256481632605398,9.256481632605398,-0.1171429576043348,0.1171429576043348,0.299687413691102,0.2115696306668602,8.811778302424184,8.811778302424184,False,False,not calculated: same-participant cross-test cells and covariance are unavailable,exploratory within-review descriptive contrast only; not paired comparative inference,Study-identifier overlap does not establish paired participant-level evaluation; the contrast remains descriptive.,continuity-corrected bivariate REML central estimates
0.42.0,P02,CD008892,Rapid diagnostic tests for typhoid and paratyphoid (enteric) fever,legacy:CD008892:5,Typhidot indeterminate results reported,legacy:CD008892:13,TUBEX,1,Alternative rapid tests for enteric fever,False,0.05,partially overlapping,5,Fadeel 2011 | Kawano 2007 | Keddy 2011 | Naheed 2008 | Olsen 2004,False,False,False,False,0.0326240538969902,0.0689501897629807,-0.036326135865990504,0.036326135865990504,-12.683841417799249,12.683841417799249,-0.17885708593873328,0.17885708593873328,0.0220267264070013,0.0139628309034379,0.8063895503563401,0.8063895503563401,False,False,not calculated: same-participant cross-test cells and covariance are unavailable,exploratory within-review descriptive contrast only; not paired comparative inference,Study-identifier overlap does not establish paired participant-level evaluation; the contrast remains descriptive.,continuity-corrected bivariate REML central estimates
0.42.0,P02,CD008892,Rapid diagnostic tests for typhoid and paratyphoid (enteric) fever,legacy:CD008892:5,Typhidot indeterminate results reported,legacy:CD008892:13,TUBEX,1,Alternative rapid tests for enteric fever,False,0.2,partially overlapping,5,Fadeel 2011 | Kawano 2007 | Keddy 2011 | Naheed 2008 | Olsen 2004,False,False,False,False,0.1059874293730147,0.2172982283438017,-0.111310798970787,0.111310798970787,-15.41854372465642,15.41854372465642,-0.17885708593873328,0.17885708593873328,0.0966441241293507,0.0630234976395162,3.362062648983449,3.362062648983449,False,False,not calculated: same-participant cross-test cells and covariance are unavailable,exploratory within-review descriptive contrast only; not paired comparative inference,Study-identifier overlap does not establish paired participant-level evaluation; the contrast remains descriptive.,continuity-corrected bivariate REML central estimates
0.42.0,P02,CD008892,Rapid diagnostic tests for typhoid and paratyphoid (enteric) fever,legacy:CD008892:5,Typhidot indeterminate results reported,legacy:CD008892:13,TUBEX,1,Alternative rapid tests for enteric fever,False,0.5,partially overlapping,5,Fadeel 2011 | Kawano 2007 | Keddy 2011 | Naheed 2008 | Olsen 2004,False,False,False,False,0.1585521081736437,0.3182846657171155,-0.1597325575434718,0.1597325575434718,-15.973255754347178,15.973255754347178,-0.17885708593873328,0.17885708593873328,0.299687413691102,0.212009289658938,8.767812403216402,8.767812403216402,False,False,not calculated: same-participant cross-test cells and covariance are unavailable,exploratory within-review descriptive contrast only; not paired comparative inference,Study-identifier overlap does not establish paired participant-level evaluation; the contrast remains descriptive.,continuity-corrected bivariate REML central estimates
0.42.0,P03,CD008892,Rapid diagnostic tests for typhoid and paratyphoid (enteric) fever,legacy:CD008892:5,Typhidot indeterminate results reported,legacy:CD008892:19,Test-it Typhoid and KIT prototypes (threshold > 1+),1,Alternative rapid tests for enteric fever,False,0.05,indirect,0,,False,False,False,False,0.0326240538969902,0.0504707816780489,-0.017846727781058704,0.017846727781058704,-6.231465571693528,6.231465571693528,-0.08274932688374159,0.08274932688374159,0.0220267264070013,0.019433514156725,0.25932122502763005,0.25932122502763005,False,False,not calculated: same-participant cross-test cells and covariance are unavailable,exploratory within-review descriptive contrast only; not paired comparative inference,Study-identifier overlap does not establish paired participant-level evaluation; the contrast remains descriptive.,continuity-corrected bivariate REML central estimates
0.42.0,P03,CD008892,Rapid diagnostic tests for typhoid and paratyphoid (enteric) fever,legacy:CD008892:5,Typhidot indeterminate results reported,legacy:CD008892:19,Test-it Typhoid and KIT prototypes (threshold > 1+),1,Alternative rapid tests for enteric fever,False,0.2,indirect,0,,False,False,False,False,0.1059874293730147,0.1593524364305167,-0.053365007057501995,0.053365007057501995,-7.392011397731832,7.392011397731832,-0.08274932688374159,0.08274932688374159,0.0966441241293507,0.0860390389396978,1.060508518965289,1.060508518965289,False,False,not calculated: same-participant cross-test cells and covariance are unavailable,exploratory within-review descriptive contrast only; not paired comparative inference,Study-identifier overlap does not establish paired participant-level evaluation; the contrast remains descriptive.,continuity-corrected bivariate REML central estimates
0.42.0,P03,CD008892,Rapid diagnostic tests for typhoid and paratyphoid (enteric) fever,legacy:CD008892:5,Typhidot indeterminate results reported,legacy:CD008892:19,Test-it Typhoid and KIT prototypes (threshold > 1+),1,Alternative rapid tests for enteric fever,False,0.5,indirect,0,,False,False,False,False,0.1585521081736437,0.2310292983502945,-0.0724771901766508,0.0724771901766508,-7.24771901766508,7.24771901766508,-0.08274932688374159,0.08274932688374159,0.299687413691102,0.2735485839576874,2.6138829733414637,2.6138829733414637,False,False,not calculated: same-participant cross-test cells and covariance are unavailable,exploratory within-review descriptive contrast only; not paired comparative inference,Study-identifier overlap does not establish paired participant-level evaluation; the contrast remains descriptive.,continuity-corrected bivariate REML central estimates
0.42.0,P04,CD008892,Rapid diagnostic tests for typhoid and paratyphoid (enteric) fever,legacy:CD008892:10,Typhidot (all types),legacy:CD008892:13,TUBEX,1,Alternative rapid tests for enteric fever,True,0.05,partially overlapping,10,Dong 2007 | Dutta 2006 | Fadeel 2011 | Islam 2016 | Kawano 2007 | Keddy 2011 | Khanna 2015 | Naheed 2008 | Olsen 2004 | Siba 2012,False,False,False,False,0.0501258681328728,0.0689501897629807,-0.0188243216301079,0.0188243216301079,-6.572807832761391,6.572807832761391,-0.06171412833439849,0.06171412833439849,0.013926616574715,0.0139628309034379,-0.0036214328722899286,0.0036214328722899286,False,True,not calculated: same-participant cross-test cells and covariance are unavailable,exploratory within-review descriptive contrast only; not paired comparative inference,Study-identifier overlap does not establish paired participant-level evaluation; the contrast remains descriptive.,continuity-corrected bivariate REML central estimates
